Date,Time,NO2 C(mg/m^3),T,RH,AH,Month,int T
2004-10-03,18.00.00,113.0,13.6,48.9,0.7578,10,13
2004-10-03,19.00.00,92.0,13.3,47.7,0.7255,10,13
2004-10-03,20.00.00,114.0,11.9,54.0,0.7502,10,11
2004-10-03,21.00.00,122.0,11.0,60.0,0.7867,10,11
2004-10-03,22.00.00,116.0,11.2,59.6,0.7888,10,11
2004-10-03,23.00.00,96.0,11.2,59.2,0.7848,10,11
2004-11-03,00.00.00,77.0,11.3,56.8,0.7603,11,11
2004-11-03,01.00.00,76.0,10.7,60.0,0.7702,11,10
2004-11-03,02.00.00,60.0,10.7,59.7,0.7648,11,10
2004-11-03,04.00.00,34.0,10.1,60.5,0.7465,11,10
2004-11-03,05.00.00,28.0,11.0,56.2,0.7366,11,11
2004-11-03,06.00.00,48.0,10.5,58.1,0.7353,11,10
2004-11-03,07.00.00,82.0,10.2,59.6,0.7417,11,10
2004-11-03,08.00.00,112.0,10.8,57.4,0.7408,11,10
2004-11-03,09.00.00,101.0,10.5,60.6,0.7691,11,10
2004-11-03,10.00.00,98.0,10.8,58.4,0.7552,11,10
2004-11-03,11.00.00,92.0,10.5,57.9,0.7352,11,10
2004-11-03,12.00.00,95.0,9.5,66.8,0.7951,11,9
2004-11-03,13.00.00,112.0,8.3,76.4,0.8393,11,8
2004-11-03,14.00.00,128.0,8.0,81.1,0.8736,11,8
2004-11-03,15.00.00,126.0,8.3,79.8,0.8778,11,8
2004-11-03,16.00.00,131.0,9.7,71.2,0.8569,11,9
2004-11-03,17.00.00,135.0,9.8,67.6,0.8185,11,9
2004-11-03,18.00.00,151.0,10.3,64.2,0.8065,11,10
2004-11-03,19.00.00,172.0,9.7,69.3,0.8319,11,9
2004-11-03,20.00.00,165.0,9.6,67.8,0.8133,11,9
2004-11-03,21.00.00,136.0,9.1,64.0,0.7419,11,9
2004-11-03,22.00.00,85.0,8.2,63.4,0.6905,11,8
2004-11-03,23.00.00,53.0,8.2,60.8,0.6657,11,8
2004-12-03,00.00.00,97.0,8.3,58.5,0.6438,12,8
2004-12-03,01.00.00,110.0,7.7,59.7,0.6308,12,7
2004-12-03,02.00.00,91.0,7.1,61.8,0.6276,12,7
2004-12-03,04.00.00,32.0,6.1,65.9,0.6248,12,6
